Market,Vertical,concat,count_days,days_tweeted,total_vits,total_tweeting_vits,total_tweets,percent_days_tweeted,tweets_per_day,tweets_per_vit,tweets_per_day_per_vit,total_rts,rts_per_tweet,total_replies,replies_per_tweet,total_tweets_w_pics,pics_per_vit,pics_per_day,pics_per_vit_per_day,total_tweets_w_gifs,gifs_per_vit,gifs_per_day,gifs_per_vit_per_day,total_tweets_w_video,video_per_vit,video_per_day,video_per_vit_per_day
AE,Books,AE|Books,41.00,40.00,4.00,3.00,12956.00,98%,323.9,"4,318.67",107.97,"3,205",0.25,785,0.06,"12,769","4,256.33",319.23,106.41,736,245.33,18.4,6.13,139,46.33,3.48,1.16
AR,Books,AR|Books,41.00,41.00,4.00,4.00,3611.00,100%,88.07,902.75,22.02,202,0.06,217,0.06,"3,302",825.5,80.54,20.13,8,2,0.2,0.05,54,13.5,1.32,0.33
AT,Books,AT|Books,41.00,32.00,1.00,1.00,70.00,78%,2.19,70,2.19,73,1.04,128,1.83,57,57,1.78,1.78,5,5,0.16,0.16,0,0,0,0
AU,Books,AU|Books,41.00,41.00,16.00,14.00,548.00,100%,13.37,39.14,0.95,916,1.67,328,0.6,658,47,16.05,1.15,16,1.14,0.39,0.03,20,1.43,0.49,0.03
BE,Books,BE|Books,41.00,40.00,1.00,0.00,1074.00,98%,26.85,39.14,0,7,0.01,15,0.01,"1,082",0,27.05,0,2,0,0.05,0,1,0,0.03,0
BR,Books,BR|Books,41.00,41.00,22.00,20.00,3750.00,100%,91.46,187.5,4.57,550,0.15,534,0.14,"2,640",132,64.39,3.22,22,1.1,0.54,0.03,13,0.65,0.32,0.02
CA,Books,CA|Books,41.00,41.00,25.00,25.00,4246.00,100%,103.56,169.84,4.14,"6,493",1.53,"4,794",1.13,"4,327",173.08,105.54,4.22,127,5.08,3.1,0.12,84,3.36,2.05,0.08
CC,Books,CC|Books,41.00,25.00,2.00,1.00,37.00,61%,1.48,37,1.48,1,0.03,8,0.22,37,37,1.48,1.48,0,0,0,0,0,0,0,0
CH,Books,CH|Books,41.00,23.00,2.00,2.00,53.00,56%,2.3,26.5,1.15,72,1.36,17,0.32,16,8,0.7,0.35,2,1,0.09,0.04,0,0,0,0
CL,Books,CL|Books,41.00,40.00,1.00,0.00,418.00,98%,10.45,0,0,148,0.35,47,0.11,520,0,13,0,17,0,0.43,0,0,0,0,0
CO,Books,CO|Books,41.00,40.00,3.00,2.00,11888.00,98%,297.2,"5,944.00",148.6,"2,948",0.25,76,0.01,"6,307","3,153.50",157.68,78.84,85,42.5,2.13,1.06,84,42,2.1,1.05
DE,Books,DE|Books,41.00,41.00,14.00,11.00,2403.00,100%,58.61,218.45,5.33,883,0.37,447,0.19,505,45.91,12.32,1.12,24,2.18,0.59,0.05,5,0.45,0.12,0.01
EG,Books,EG|Books,41.00,40.00,1.00,1.00,210.00,98%,5.25,210,5.25,179,0.85,140,0.67,91,91,2.28,2.28,0,0,0,0,0,0,0,0
ES,Books,ES|Books,41.00,41.00,20.00,18.00,4621.00,100%,112.71,256.72,6.26,"2,902",0.63,"2,281",0.49,"4,711",261.72,114.9,6.38,145,8.06,3.54,0.2,55,3.06,1.34,0.07
